,,140,,,,,,,,
,,COMICS,,,,,,,,Series Names
,S.NO.,TITLE,PRICE,GENRE,BOOK CODE,ACC #,SERIES,DATE OF ADDITION,,Amar Chitra Katha
,115,The Historic City of Delhi (A Tale of Power and Passion),50,Amar Chitra Katha,CACK75,C115,Bravehearts,12-Jul-2018,,
,116,Rani of Jhansi (The Flame of Freedom),50,Amar Chitra Katha,CACK76,C116,Bravehearts,12-Jul-2018,,
,117,Rana Pratap (He Fought for Freedom),40,Amar Chitra Katha,CACK77,C117,Bravehearts,12-Jul-2018,,
,118,Mangal Pande (He Fired the First Shot),40,Amar Chitra Katha,CACK78,C118,Bravehearts,12-Jul-2018,,
,119,Paurava and Alexander (The Battle of the Giants),35,Amar Chitra Katha,CACK79,C119,Bravehearts,12-Jul-2018,,
,120,Chandra Shekhar Azad (Freedom was his Mission),40,Amar Chitra Katha,CACK80,C120,Bravehearts,12-Jul-2018,,
,121,Bhagat Singh (The Cheerful Young Martyr),50,Amar Chitra Katha,CACK81,C121,Bravehearts,12-Jul-2018,,
,122,Tyson vs. Kai,50,Beyblade,BB1,C122,,24-Sep-2018,,
,123,Comics Annual,50,Children's World,CW1,C123,,25-Sep-2018,,
,124,Samudra Gupta (Kannada),75,Amar Chitra Katha,CACK82,C124,,27-Sep-2018,Transferred to the Labour School,
,125,Ganesha (Kannada),50,Amar Chitra Katha,CACK83,C125,,27-Sep-2018,Transferred to the Labour School,
,126,Krishna Mattu Jarasandha (Kannada),50,Amar Chitra Katha,CACK84,C126,,27-Sep-2018,Transferred to the Labour School,
,127,Bhishma (Kannada),50,Amar Chitra Katha,CACK85,C127,,27-Sep-2018,Transferred to the Labour School,
,128,Sudama (Kannada),50,Amar Chitra Katha,CACK86,C128,,27-Sep-2018,Transferred to the Labour School,
,129,Jaana Birbal (Kannada),50,Amar Chitra Katha,CACK87,C129,,27-Sep-2018,Transferred to the Labour School,
,130,Veera Pandavaru (Kannada),50,Amar Chitra Katha,CACK88,C130,,27-Sep-2018,Transferred to the Labour School,
,131,Amruta Manthana (Kannada),50,Amar Chitra Katha,CACK89,C131,,27-Sep-2018,Transferred to the Labour School,
,132,Durgadevi (Kannada),50,Amar Chitra Katha,CACK90,C132,,27-Sep-2018,Transferred to the Labour School,
,133,Naradana Kathegalu (Kannada),50,Amar Chitra Katha,CACK91,C133,,27-Sep-2018,Transferred to the Labour School,
,134,Savitri (Kannada),50,Amar Chitra Katha,CACK92,C134,,27-Sep-2018,Transferred to the Labour School,
,135,Ayyappan (Kannada),50,Amar Chitra Katha,CACK93,C135,,27-Sep-2018,Transferred to the Labour School,
,136,Karna (Kannada),50,Amar Chitra Katha,CACK94,C136,,27-Sep-2018,Transferred to the Labour School,
,137,Mahatma Gandhi (Kannada),50,Amar Chitra Katha,CACK95,C137,,27-Sep-2018,Transferred to the Labour School,
,138,Sri Ramakrishna Paramahamsa (Kannada),50,Amar Chitra Katha,CACK96,C138,,27-Sep-2018,Transferred to the Labour School,
,139,Jagajyothi Basaveshwara (Kannada),50,Amar Chitra Katha,CACK97,C139,,27-Sep-2018,Transferred to the Labour School,
,140,Subhash Chandra Bose (Born to Lead),50,Amar Chitra Katha,CACK98,C140,,27-Sep-2018,,
,141,,,,,C141,,,,
,142,,,,,C142,,,,
,143,,,,,C143,,,,
,144,,,,,C144,,,,
,145,,,,,C145,,,,
,146,,,,,C146,,,,
,147,,,,,C147,,,,
,148,,,,,C148,,,,
,149,,,,,C149,,,,
,150,,,,,C150,,,,
,151,,,,,,,,,
,152,,,,,,,,,
,153,,,,,,,,,
,154,,,,,,,,,
,155,,,,,,,,,
,156,,,,,,,,,
,157,,,,,,,,,
,158,,,,,,,,,
,159,,,,,,,,,
,160,,,,,,,,,
,161,,,,,,,,,
,162,,,,,,,,,
,163,,,,,,,,,
,164,,,,,,,,,
,165,,,,,,,,,
,166,,,,,,,,,
,167,,,,,,,,,
,168,,,,,,,,,
,169,,,,,,,,,
,170,,,,,,,,,
,171,,,,,,,,,
,172,,,,,,,,,
,173,,,,,,,,,
,174,,,,,,,,,
,175,,,,,,,,,
,176,,,,,,,,,
,177,,,,,,,,,
,178,,,,,,,,,
,179,,,,,,,,,
,180,,,,,,,,,
,181,,,,,,,,,
,182,,,,,,,,,
,183,,,,,,,,,
,184,,,,,,,,,
,185,,,,,,,,,
,186,,,,,,,,,
,187,,,,,,,,,
,188,,,,,,,,,
,189,,,,,,,,,
,190,,,,,,,,,
,191,,,,,,,,,
,192,,,,,,,,,
,193,,,,,,,,,
,194,,,,,,,,,
,195,,,,,,,,,
,196,,,,,,,,,
,197,,,,,,,,,
,198,,,,,,,,,
,199,,,,,,,,,
,200,,,,,,,,,
,201,,,,,,,,,
,202,,,,,,,,,
,203,,,,,,,,,
,204,,,,,,,,,
,205,,,,,,,,,
,206,,,,,,,,,
,207,,,,,,,,,
,208,,,,,,,,,
,209,,,,,,,,,
,210,,,,,,,,,
,211,,,,,,,,,
,212,,,,,,,,,
,213,,,,,,,,,
,214,,,,,,,,,
,215,,,,,,,,,
,216,,,,,,,,,
,217,,,,,,,,,
,218,,,,,,,,,
,219,,,,,,,,,
,220,,,,,,,,,
,221,,,,,,,,,
,222,,,,,,,,,
,223,,,,,,,,,
,224,,,,,,,,,
,225,,,,,,,,,
,226,,,,,,,,,
,227,,,,,,,,,
,228,,,,,,,,,
,229,,,,,,,,,
,230,,,,,,,,,
,231,,,,,,,,,
,232,,,,,,,,,
,233,,,,,,,,,
,234,,,,,,,,,
,235,,,,,,,,,
,236,,,,,,,,,
,237,,,,,,,,,
,238,,,,,,,,,
,239,,,,,,,,,
,240,,,,,,,,,
,241,,,,,,,,,
,242,,,,,,,,,
,243,,,,,,,,,
,244,,,,,,,,,
,245,,,,,,,,,
,246,,,,,,,,,
,247,,,,,,,,,
,248,,,,,,,,,
,249,,,,,,,,,
,250,,,,,,,,,
,251,,,,,,,,,
,252,,,,,,,,,
,253,,,,,,,,,
,254,,,,,,,,,
,255,,,,,,,,,
,256,,,,,,,,,
,257,,,,,,,,,
,258,,,,,,,,,
,259,,,,,,,,,
,260,,,,,,,,,
,261,,,,,,,,,
,262,,,,,,,,,
,263,,,,,,,,,
,264,,,,,,,,,
,265,,,,,,,,,
,266,,,,,,,,,
,267,,,,,,,,,
,268,,,,,,,,,
,269,,,,,,,,,
,270,,,,,,,,,
,271,,,,,,,,,
,272,,,,,,,,,
,273,,,,,,,,,
,274,,,,,,,,,
,275,,,,,,,,,
,276,,,,,,,,,
,277,,,,,,,,,
,278,,,,,,,,,
